 |  |  |  |  |  |  | 4-илова
Нобанк кредит ташкилотлари томонидан ажратилган кредитларнинг миқдори бўйича гуруҳланиши |  |  |  |  |  |  | 
ТОШКЕНТ ШАХРИ |  |  |  |  |  |  | 
№ | Кредит тури | 2025 йилнинг мос даври |  |  | Ҳисобот даври |  | 
 |  | сони | суммаси (млрд сўм) | ўртача тортилган фоиз | сони | суммаси (млрд сўм) | ўртача тортилган фоиз
Жами |  | 961 | 49 | 58,09 | 1 326 | 96 | 55,01
Микрокредит |  |  |  |  |  |  | 
1 | 10 млн сўмгача | 0 | 0,00 | 0,00 | 0 | 0,00 | 0,00
2 | 10-50 млн сўм | 0 | 0,00 | 0,00 | 0 | 0,00 | 0,00
3 | 50-100 млн сўм | 0 | 0,00 | 0,00 | 0 | 0,00 | 0,00
4 | 100-300 млн сўм | 60 | 10,08 | 57,14 | 211 | 33,90 | 55,00
5 | 300 млн сўмдан юқори | 0 | 0,00 | 0,00 | 0 | 0,00 | 0,00
Жами |  | 60 | 10 | 57,14 | 211 | 34 | 55,00
Микроқарз |  |  |  |  |  |  | 
1 | 10 млн сўмгача | 39 | 0,33 | 65,56 | 11 | 0,10 | 56,44
2 | 10-50 млн сўм | 601 | 19,76 | 58,51 | 550 | 19,18 | 55,04
3 | 50-100 млн сўм | 261 | 18,76 | 58,02 | 554 | 42,44 | 55,00
Жами |  | 901 | 39 | 58,33 | 1 115 | 62 | 55,01
Микролизинг |  |  |  |  |  |  | 
1 | 10 млн сўмгча | 0 | 0,00 | 0,00 | 0 | 0,00 | 0,00
2 | 10-50 млн сўм | 0 | 0,00 | 0,00 | 0 | 0,00 | 0,00
3 | 50-100 млн сўм | 0 | 0,00 | 0,00 | 0 | 0,00 | 0,00
4 | 100-300 млн сўм | 0 | 0,00 | 0,00 | 0 | 0,00 | 0,00
5 | 300 млн сўмдан юқори | 0 | 0,00 | 0,00 | 0 | 0,00 | 0,00
Жами |  | 0 | 0 | 0,00 | 0 | 0 | 0,00

